sale_date,sale_price,description,sale_id,lot_id,comments,title,grade,seal_grade,seal_type,variant
2021-03-16,432.0,8.0 B SEALED NES CAPCOM 1989 USA,312111,68047,Oval SOQ TM,STRIDER,8.0,,SEALED,False
2021-08-10,192.0,9.4 A++ SEALED D.CAST SEGA 2001 USA,312132,67071,,PHANTASY STAR ONLINE VER. 2,9.4,A++,SEALED,False
2021-07-11,408.0,9.6 A+ SEALED PS1 EIDOS 1999 USA,7261,29250,Sony Security Label,GEX 3: DEEP COVER GECKO,9.6,A+,SEALED,False
2020-09-28,750.0,9.6 A+ SEALED 2600 ATARI 1982 USA,122039,17897,,SPIDER-MAN,9.6,A+,SEALED,False
2020-05-03,1020.0,9.4 A+ SEALED NES ACCLAIM 1991 USA,7229,97173,,THE SIMPSONS: BART VS. THE WORLD,9.4,A+,SEALED,False
2019-06-23,600.0,MIKE TYSON'S PUNCH-OUT!! BOX 4.0 CART 8.0 MANUAL 6.0; VARIANT: WHITE BU,121925,17276,"NES, Nintendo, 1987, Complete in Box",MIKE TYSON'S PUNCH-OUT!!,5.5,CIB,,True
2021-02-08,120.0,9.4 A++ SEALED 2600 ATARI 1989 USA,122106,14054,1989 Red box,OFF THE WALL,9.4,A++,SEALED,False
2019-11-22,960.0,9.0 A SEALED NES JALECO 1993 USA,7212,93005,,BASES LOADED 4 - CAROLINA COLLECTION,9.0,,SEALED,False
2020-05-01,6000.0,9.2 A+ SEALED N64 NINTENDO 1999 USA,7229,93037,Standard Release,SUPER SMASH BROS.,9.2,A+,SEALED,False
2020-05-11,660.0,9.2 A+ SEALED NES TECMO 1990 USA,122019,13781,,TECMO WORLD WRESTLING,9.2,A+,SEALED,False
2020-05-03,216.0,9.2 NS ATARI 2600 20TH CENTURY FOX 1983 USA,7229,97026,,REVENGE OF THE BEEFSTEAK TOMATOES,9.2,,,False
2019-03-10,132.0,MONSTER IN MY POCKET,121910,12278,"NES, Konami, 1992, Complete in Box",MONSTER IN MY POCKET,9.2,CIB,,False
2019-11-24,384.0,9.6 A++ SEALED NES CAMERICA 1993 USA,7212,97091,"""Game Deck"" Star Box",THE FANTASTIC ADVENTURES OF DIZZY  - CAROLINA COLLECTION,9.6,A++,SEALED,False
2021-04-05,990.0,9.4 A++ SEALED GB SUNSOFT 1992 USA,7242,97150,,LOONEY TUNES,9.4,A++,SEALED,False
2019-12-15,180.0,6.5 CIB NES NINTENDO 1986 USA,121950,15239,"Hangtab, No Rev-A, Mid-Release",MARIO BROS.,6.5,CIB,,False
2020-04-27,132.0,8.0 CIB SEGA GEN 1991 USA,122017,17725,"K-A, Later Production",SONIC THE HEDGEHOG,8.0,CIB,,False
2020-08-24,198.0,7.5 CIB NES NINTENDO 1990 USA,122034,17809,"""Bros"" Right, Later Production",SUPER MARIO BROS. 3,7.5,CIB,,False
2020-03-08,360.0,8.0 A+ SEALED SNES NINTENDO 1996 USA,7224,97070,Player's Choice,THE LEGEND OF ZELDA: A LINK TO THE PAST  - ATWOOD COLLECTION,8.0,A+,SEALED,False
2020-09-28,104.0,6.5 B+ SEALED 2600 ATARI 1982 USA,122039,17887,Blue Box,DEFENDER,6.5,B+,SEALED,False
2021-03-01,150.0,9.4 A SEALED GBC VATICAL 2000 USA,122109,12029,,SHAMUS,9.4,,SEALED,False
2020-07-12,372.0,9.2 A+ SEALED 2600 ATARI 1983 USA,7231,97013,1987 Silver Box,POLE POSITION,9.2,A+,SEALED,False
2020-09-11,2460.0,8.0 NS GLUE SEAL 2600 ATARI 1980 USA,7234,93001,,ADVENTURE,8.0,,GLUE SEAL,False
2021-04-02,10800.0,9.0 A+ SEALED NES ENIX 1992 USA,7242,93011,,DRAGON WARRIOR IV,9.0,A+,SEALED,False
2020-03-08,402.0,8.0 A SEALED GEN US GOLD 1994 USA,7224,97085,RTB Seam,THE INCREDIBLE HULK,8.0,,SEALED,False
2020-05-03,1560.0,9.4 A++ SEALED SNES SUNSOFT 1994 USA,7229,97210,,THE DEATH AND RETURN OF SUPERMAN,9.4,A++,SEALED,False
2021-07-09,3600.0,9.6 CIB NES MINDSCAPE 1988 USA,7261,28042,"Rev-A, Round SOQ, Early Production",PAPERBOY,9.6,CIB,,False
2021-07-20,504.0,9.4 B+ SEALED NES VIRGIN 1992 USA,312129,68039,"Rev-A, Oval SOQ R",M.C KIDS,9.4,B+,SEALED,False
2020-07-13,456.0,9.8 A++ SEALED SNES OCEAN 1995 USA,122028,13849,,ADDAMS FAMILY VALUES,9.8,A++,SEALED,False
2021-08-10,3840.0,9.8 A++ SEALED PS1 CAPCOM 2001 USA,312132,67084,Sony Security Label,MEGA MAN X5,9.8,A++,SEALED,False
2019-12-01,74.0,6.5 CIB NES NINTENDO 1985 GBR,121948,11304,"PAL-A, Gloss Sticker",CLU CLU LAND,6.5,CIB,,False
2020-03-08,720.0,9.0 CIB NES NINTENDO 1985 USA,7224,97024,"Gloss Sticker, Second Production",HOGAN'S ALLEY,9.0,CIB,,False
2019-02-23,1200.0,DUCKTALES,7204,94424,"NES, Capcom, 1989, Seal Rating",DUCKTALES,9.2,A+,,False
2020-10-26,360.0,9.2 A+ SEALED NES ACCLAIM 1990 USA,122043,18011,Oval SOQ R,BIGFOOT,9.2,A+,SEALED,False
